order_id,order_date,category,product,region,sales_rep,units_sold,unit_price,discount,revenue,cost,profit
1,2025-04-30,Electronics,USB-C Hub,South,J. Chen,5,49.99,0,249.95,183.14,66.81
2,2026-07-18,Electronics,Noise-Cancelling Headset,West,A. Singh,1,129.99,0,129.99,79.17,50.82
3,2026-06-07,Electronics,Noise-Cancelling Headset,South,P. Novak,21,129.99,0.1,2456.81,1810.59,646.22
4,2026-04-10,Office Supplies,Notebook Set,South,P. Novak,14,12.99,0,181.86,113.67,68.19
5,2025-08-14,Office Supplies,Notebook Set,North,S. O'Neil,4,12.99,0,51.96,40.47,11.49
6,2025-10-03,Electronics,Webcam 1080p,North,S. O'Neil,3,69.99,0.1,188.97,132.1,56.87
7,2026-01-11,Furniture,Ergonomic Desk Chair,North,P. Novak,8,249.99,0,1999.92,1631.95,367.97
8,2025-09-01,Electronics,Webcam 1080p,East,S. O'Neil,21,69.99,0,1469.79,872.93,596.86
9,2026-01-04,Furniture,Bookshelf,North,L. Weber,21,119.99,0,2519.79,1749.28,770.51
10,2025-09-13,Furniture,Desk Lamp,West,M. Garcia,21,34.99,0.1,661.31,447.7,213.61
11,2025-12-04,Electronics,Mechanical Keyboard,North,M. Garcia,13,89.99,0,1169.87,664.34,505.53
12,2026-08-09,Office Supplies,Whiteboard 90x120,West,S. O'Neil,21,59.99,0.05,1196.8,741.48,455.32
13,2025-05-28,Furniture,Filing Cabinet,East,P. Novak,19,89.99,0.05,1624.32,1354.87,269.45
14,2026-02-18,Office Supplies,Whiteboard 90x120,South,L. Weber,16,59.99,0,959.84,723.78,236.06
15,2025-04-28,Furniture,Standing Desk,West,L. Weber,3,399.99,0.05,1139.97,783.63,356.34
16,2026-04-30,Office Supplies,Stapler Kit,North,P. Novak,24,15.99,0,383.76,281.7,102.06
17,2026-07-09,Office Supplies,Marker Pack,North,M. Garcia,14,8.99,0,125.86,84.64,41.22
18,2025-10-02,Furniture,Filing Cabinet,North,P. Novak,10,89.99,0.1,809.91,642.91,167.0
19,2025-06-11,Office Supplies,Whiteboard 90x120,North,L. Weber,11,59.99,0.05,626.9,366.41,260.49
20,2026-01-12,Office Supplies,Whiteboard 90x120,North,J. Chen,19,59.99,0,1139.81,653.26,486.55
21,2026-05-18,Electronics,Noise-Cancelling Headset,South,J. Chen,22,129.99,0.05,2716.79,2303.98,412.81
22,2025-06-24,Office Supplies,Stapler Kit,West,J. Chen,18,15.99,0,287.82,213.71,74.11
23,2026-02-18,Office Supplies,Printer Paper Box,West,A. Singh,8,24.99,0,199.92,113.41,86.51
24,2025-01-27,Furniture,Filing Cabinet,South,A. Singh,3,89.99,0,269.97,165.17,104.8
25,2025-02-07,Office Supplies,Notebook Set,South,M. Garcia,22,12.99,0.05,271.49,173.71,97.78
26,2025-05-21,Accessories,Monitor Arm,West,S. O'Neil,7,74.99,0,524.93,302.45,222.48
27,2026-03-23,Office Supplies,Printer Paper Box,West,S. O'Neil,24,24.99,0,599.76,438.91,160.85
28,2025-04-16,Electronics,Webcam 1080p,East,A. Singh,8,69.99,0,559.92,336.71,223.21
29,2026-04-10,Furniture,Desk Lamp,South,M. Garcia,15,34.99,0,524.85,412.59,112.26
30,2025-03-24,Accessories,Webcam Privacy Cover,North,A. Singh,21,5.99,0.1,113.21,97.58,15.63
31,2025-04-11,Furniture,Standing Desk,West,S. O'Neil,16,399.99,0,6399.84,5013.99,1385.85
32,2025-03-07,Furniture,Desk Lamp,North,S. O'Neil,9,34.99,0.05,299.16,197.45,101.71
